filepath,filename,md5,location,label,segmented
images/moth-wasp/SP_raw/Cerro_azul_IMG_0001_wasp.jpg,Cerro_azul_IMG_0001_wasp.jpg,9bcc6865570800391b3a6ae7709affd1,Cerro azul,wasp,False
images/moth-wasp/SP_raw/BCI_IMG_0014_1_moth.jpg,BCI_IMG_0014_1_moth.jpg,9fa92848967b89543410ec121fce61e2,BCI,moth,False
images/moth-wasp/SP_raw/Gamboa_IMG_0040_wasp.jpg,Gamboa_IMG_0040_wasp.jpg,68da0bb1433f486c86d4f21126b21fe0,Gamboa,wasp,False
images/moth-wasp/SP_raw/Fortuna_IMG_0027_moth.jpg,Fortuna_IMG_0027_moth.jpg,4cd1a3dcf07b2517d191c7af627029bb,Fortuna,moth,False
images/moth-wasp/SP_raw/Gamboa_IMG_0012_moth.jpg,Gamboa_IMG_0012_moth.jpg,b8a2469496052910c6c26896e36af0e8,Gamboa,moth,False
images/moth-wasp/SP_raw/Fortuna_IMG_0026_moth.jpg,Fortuna_IMG_0026_moth.jpg,5cc712a520ada23aae8b4ee06c3e2c7d,Fortuna,moth,False
images/moth-wasp/SP_raw/Gamboa_IMG_0037_wasp.jpg,Gamboa_IMG_0037_wasp.jpg,69e52e7751b4b76b6f613ddddb3347f2,Gamboa,wasp,False
images/moth-wasp/SP_raw/Gamboa_IMG_0036_wasp.jpg,Gamboa_IMG_0036_wasp.jpg,bde5466e073aa868d5534583f43131bb,Gamboa,wasp,False
images/moth-wasp/SP_raw/Fortuna_IMG_0050_moth.jpg,Fortuna_IMG_0050_moth.jpg,45f4dd041c3f9f41639e1b62724adfa9,Fortuna,moth,False
images/moth-wasp/SP_raw/Gamboa_IMG_0019_moth.jpg,Gamboa_IMG_0019_moth.jpg,93bb92b3eb5189f8854f4a4a93409ab8,Gamboa,moth,False
images/moth-wasp/SP_raw/Gamboa_IMG_0018_moth.jpg,Gamboa_IMG_0018_moth.jpg,f2c8d74a388627d2cfda053800f4c1c2,Gamboa,moth,False
images/moth-wasp/SP_raw/Fortuna_IMG_0037_wasp.jpg,Fortuna_IMG_0037_wasp.jpg,9e62fb38419eba34a32f5107cb58b984,Fortuna,wasp,False
images/moth-wasp/SP_raw/Fortuna_IMG_0009_wasp.jpg,Fortuna_IMG_0009_wasp.jpg,ec35e9cf0b54f3e7c08db76927e9ff14,Fortuna,wasp,False
images/moth-wasp/SP_raw/Fortuna_IMG_0008_wasp.jpg,Fortuna_IMG_0008_wasp.jpg,c289c68dd01be75acb3d88c0c84b40c2,Fortuna,wasp,False
images/moth-wasp/SP_raw/Gamboa_IMG_0011_1_moth.jpg,Gamboa_IMG_0011_1_moth.jpg,0e58fe5dcb134d6511c323faff164670,Gamboa,moth,False
images/moth-wasp/SP_raw/Fortuna_IMG_0014_wasp.jpg,Fortuna_IMG_0014_wasp.jpg,ba8c011e664889fe8c76ad8a6e07c175,Fortuna,wasp,False
images/moth-wasp/SP_raw/Gamboa_IMG_0020_wasp.jpg,Gamboa_IMG_0020_wasp.jpg,f583c5086a2a70d1c19cf8b677ac3311,Gamboa,wasp,False
images/moth-wasp/SP_raw/Gamboa_IMG_0021_wasp.jpg,Gamboa_IMG_0021_wasp.jpg,d1ff4a0cfd162f8fa3d93b935d8a04ec,Gamboa,wasp,False
images/moth-wasp/SP_raw/Gamboa_IMG_0005_fly.jpg,Gamboa_IMG_0005_fly.jpg,36d57da1d255aa6c3a509b5a8aaa7f61,Gamboa,fly,False
images/moth-wasp/SP_raw/Cerro_azul_IMG_0038_moth.jpg,Cerro_azul_IMG_0038_moth.jpg,bfac2fd4bcf23324e344c147e5f334f6,Cerro azul,moth,False
images/moth-wasp/SP_raw/Gamboa_IMG_0051_wasp.jpg,Gamboa_IMG_0051_wasp.jpg,c047aba5ffd6a7ad407126839adf5a2a,Gamboa,wasp,False
images/moth-wasp/SP_raw/Gamboa_IMG_0003_moth.jpg,Gamboa_IMG_0003_moth.jpg,3793df1d8ffaa44355a0b4ac7da0add2,Gamboa,moth,False
images/moth-wasp/SP_raw/Gamboa_IMG_0002_moth.jpg,Gamboa_IMG_0002_moth.jpg,1eb52ab09bee90d00a3f833868b9f855,Gamboa,moth,False
images/moth-wasp/SP_raw/Fortuna_IMG_0036_moth.jpg,Fortuna_IMG_0036_moth.jpg,408c99955757783d929c14a0e043096f,Fortuna,moth,False
images/moth-wasp/SP_raw/Gamboa_IMG_0019_wasp.jpg,Gamboa_IMG_0019_wasp.jpg,cc23806f96bdb607df72cf5994762573,Gamboa,wasp,False
images/moth-wasp/SP_raw/Fortuna_IMG_0013_wasp.jpg,Fortuna_IMG_0013_wasp.jpg,34944616e969a444f2d49a498d221c10,Fortuna,wasp,False
images/moth-wasp/SP_raw/Gamboa_IMG_0026_wasp.jpg,Gamboa_IMG_0026_wasp.jpg,487fa4758b4c8efdfaf49a98f890464b,Gamboa,wasp,False
